word,global_prob
use,0.007810325
stock,0.007387082
relat,0.006331598
technolog,0.006034804
also,0.005540803
affect,0.004563939
incom,0.004368698
loss,0.004077145
current,0.00403718
foreign,0.003405592
purchas,0.00337873
design,0.00294173
term,0.002912902
number,0.002858522
competit,0.002745177
credit,0.002709798
make,0.002707177
acquisit,0.002696695
condit,0.002646901
capit,0.002608246
potenti,0.002542074
issu,0.002532246
protect,0.002508005
patent,0.002481798
public,0.002473936
act,0.002448384
demand,0.002444453
success,0.002424142
avail,0.002422832
integr,0.002405142
